"A lectionary tells us what lessons are to be read on a given date. But sometimes we have the inverted question, ""When will this lesson be read?"" The reverse lectionary is a way to find the answer to that question.",
"This reverse lectionary includes the lessons from the Episcopal three year Sunday Lectionary, based on the Revised Common Lectionary, as well as the lessons appointed for Holy Days.",
"The table is organized by book, with the books being in the same order as in the Bible. The shortcuts just below can be used to avoid scrolling through the entire table.",
The Reverse Lectionary,
Verse,Day
Genesis 1:1-5,Epiphany 1B
Genesis 1:1—2:4a,Easter Vigil
Genesis 1:1—2:4a,Trinity Sunday A
Genesis 2:15-17; 3:1-7 ,Lent 1A
Genesis 2:18-24,Proper 22B
Genesis 3:8-15,Proper 5B
Genesis 6:9-22;7:24; 8:14-19,Proper 4A
"Genesis 7:1-5,11-18;8:6-18; 9:8-13",Easter Vigil
Genesis 9:8-17,Lent 1B
Genesis 11:1-9,Vigil of Pentecost
Genesis 11:1-9,Day of Pentecost C
Genesis 12:1-4a ,Lent 2A
Genesis 12:1-9,Proper 5A
Genesis 15:1-6,Proper 14C
"Genesis 15:1-12,17-18",Lent 2C
"Genesis 17:1-7,15-16",Lent 2B
Genesis 18:1-10a,Proper 11C
"Genesis 18:1-15, (21:1-7)",Proper 6A
Genesis 18:20-32,Proper 12C
Genesis 21:8-21,Proper 7A
Genesis 22:1-14,Proper 8A
Genesis 22:1-18,Easter Vigil
"Genesis 24:34-38, 42-49,58-67",Proper 9A
Genesis 25:19-34,Proper 10A
Genesis 28:10-17,St Michael & All Angels
Genesis 28:10-19a,Proper 11A
Genesis 29:15-28,Proper 12A
Genesis 32:22-31,Proper 13A
Genesis 32:22-31,Proper 24C
"Genesis 37:1-4,12-28",Proper 14A
Genesis 45:1-15,Proper 15A
"Genesis 45:3-11,15",Epiphany 7C / Proper 2C
Genesis 50:15-21,Proper 19A
Exodus 1:8—2:10,Proper 16A
Exodus 3:1-15,Lent 3C
Exodus 3:1-15,Proper 17A
"Exodus 12:1-4,(5-10),11-14",Maundy Thursday
Exodus 12:1-14,Proper 18A
Exodus 14:10-31; 15:20-21,Easter Vigil
Exodus 14:19-31,Proper 19A
"Exodus 15:1b-11,20-21",Proper 19A
Exodus 16:2-15,Proper 20A
"Exodus 16:2-4,9-15",Proper 13B
Exodus 17:1-7,Lent 3A
Exodus 17:1-7,Proper 21A
"Exodus 19:1-9a,16-20a;20:18-20",Vigil of Pentecost
Exodus 19:2-8a,Proper 6A
"Exodus 20:1-4,7-9, 12-20",Proper 22A
Exodus 20:1-17,Lent 3B
Exodus 24:12-18 ,Last Epiphany A
Exodus 32:1-14,Proper 23A
Exodus 32:7-14,Proper 19C
Exodus 33:12-23,Proper 24A
Exodus 33:18-23,St John
Exodus 34:29-35,Last Epiphany C
Exodus 34:29-35,The Transfiguration
"Leviticus 19:1-2,9-18",Epiphany 7A / Proper 2A
"Leviticus 19:1-2,15-18",Proper 25A
Numbers 6:22-27 ,Holy Name A
"Numbers 11:4-6,10-16,24-29",Proper 21B
Numbers 11:24-30,Day of Pentecost A
Numbers 21:4-9,Lent 4B
"Deuteronomy 4:1-2,6-9",Proper 17B
Deuteronomy 5:12-15,Proper 4B
Deuteronomy 6:1-9,Proper 26B
Deuteronomy 8:7-18,Thanksgiving Day A
Deuteronomy 10:17-21,Independence Day
"Deuteronomy 11:18-21,26-28",Proper 4A
Deuteronomy 18:15-18,St Bartholomew
Deuteronomy 18:15-20,Epiphany 4B
Deuteronomy 26:1-11,Lent 1C
Deuteronomy 26:1-11,Thanksgiving Day C
Deuteronomy 30:9-14,Proper 10C
Deuteronomy 30:11-14,St Andrew
Deuteronomy 30:15-20,Epiphany 6A / Proper 1A
Deuteronomy 30:15-20,Proper 18C
Deuteronomy 32:1-4,St Simon & St Jude
Deuteronomy 34:1-12,Proper 25A
Joshua 3:7-17,Proper 26A
Joshua 5:9-12,Lent 4C
"Joshua 24:1-2a,14-18",Proper 16B
"Joshua 24:1-3a,14-25",Proper 27A
Judges 4:1-7,Proper 28A
Ruth 1:1-18,Proper 26B
