date,year,month,day,occasion,season,lectionary_year,proper
2007-01-07,2007,1,7,First Sunday after the Epiphany,Epiphany,C,
2007-01-14,2007,1,14,Second Sunday after the Epiphany,Epiphany,C,
2007-01-21,2007,1,21,Third Sunday after the Epiphany,Epiphany,C,
2007-01-28,2007,1,28,Fourth Sunday after the Epiphany,Epiphany,C,
2007-02-04,2007,2,4,Fifth Sunday after the Epiphany,Epiphany,C,
2007-02-11,2007,2,11,Sixth Sunday after the Epiphany,Epiphany,C,
2007-02-18,2007,2,18,Last Sunday after Epiphany,Epiphany,C,
2007-02-25,2007,2,25,First Sunday in Lent,Lent,C,
2007-03-04,2007,3,4,Second Sunday in Lent,Lent,C,
2007-03-11,2007,3,11,Third Sunday in Lent,Lent,C,
2007-03-18,2007,3,18,Fourth Sunday in Lent,Lent,C,
2007-03-25,2007,3,25,Fifth Sunday in Lent,Lent,C,
2007-04-01,2007,4,1,Palm Sunday,Lent,C,
2007-04-08,2007,4,8,Easter Day,Easter,C,
2007-04-15,2007,4,15,Second Sunday of Easter,Easter,C,
2007-04-22,2007,4,22,Third Sunday of Easter,Easter,C,
2007-04-29,2007,4,29,Fourth Sunday of Easter,Easter,C,
2007-05-06,2007,5,6,Fifth Sunday of Easter,Easter,C,
2007-05-13,2007,5,13,Sixth Sunday of Easter,Easter,C,
2007-05-20,2007,5,20,Seventh Sunday of Easter,Easter,C,
2007-05-27,2007,5,27,Day of Pentecost,Ordinary Time,C,
2007-06-03,2007,6,3,Trinity Sunday,Ordinary Time,C,
2007-06-10,2007,6,10,Second Sunday after Pentecost Proper 5,Ordinary Time,C,5
2007-06-17,2007,6,17,Third Sunday after Pentecost Proper 6,Ordinary Time,C,6
2007-06-24,2007,6,24,Fourth Sunday after Pentecost Proper 7,Ordinary Time,C,7
2007-07-01,2007,7,1,Fifth Sunday after Pentecost Proper 8,Ordinary Time,C,8
2007-07-08,2007,7,8,Sixth Sunday after Pentecost Proper 9,Ordinary Time,C,9
2007-07-15,2007,7,15,Seventh Sunday after Pentecost Proper 10,Ordinary Time,C,10
2007-07-22,2007,7,22,Eighth Sunday after Pentecost Proper 11,Ordinary Time,C,11
2007-07-29,2007,7,29,Ninth Sunday after Pentecost Proper 12,Ordinary Time,C,12
2007-08-05,2007,8,5,Tenth Sunday after Pentecost Proper 13,Ordinary Time,C,13
2007-08-12,2007,8,12,Eleventh Sunday after Pentecost Proper 14,Ordinary Time,C,14
2007-08-19,2007,8,19,Twelfth Sunday after Pentecost Proper 15,Ordinary Time,C,15
2007-08-26,2007,8,26,Thirteenth Sunday after Pentecost Proper 16,Ordinary Time,C,16
2007-09-02,2007,9,2,Fourteenth Sunday after Pentecost Proper 17,Ordinary Time,C,17
2007-09-09,2007,9,9,Fifteenth Sunday after Pentecost Proper 18,Ordinary Time,C,18
2007-09-16,2007,9,16,Sixteenth Sunday after Pentecost Proper 19,Ordinary Time,C,19
2007-09-23,2007,9,23,Seventeenth Sunday after Pentecost Proper 20,Ordinary Time,C,20
2007-09-30,2007,9,30,Eighteenth Sunday after Pentecost Proper 21,Ordinary Time,C,21
2007-10-07,2007,10,7,Nineteenth Sunday after Pentecost Proper 22,Ordinary Time,C,22
2007-10-14,2007,10,14,Twentieth Sunday after Pentecost Proper 23,Ordinary Time,C,23
2007-10-21,2007,10,21,Twenty First Sunday after Pentecost Proper 24,Ordinary Time,C,24
2007-10-28,2007,10,28,Twenty Second Sunday after Pentecost Proper 25,Ordinary Time,C,25
2007-11-04,2007,11,4,Twenty Fourth Sunday after Pentecost Proper 26,Ordinary Time,C,26
2007-11-11,2007,11,11,Twenty Fourth Sunday after Pentecost Proper 27,Ordinary Time,C,27
2007-11-18,2007,11,18,Twenty Fifth Sunday after Pentecost Proper 28,Ordinary Time,C,28
2007-11-25,2007,11,25,Christ the King,Special,C,
2007-12-02,2007,12,2,First Sunday of Advent,Advent,A,
2007-12-09,2007,12,9,Second Sunday of Advent,Advent,A,
2007-12-16,2007,12,16,Third Sunday of Advent,Advent,A,
2007-12-23,2007,12,23,Fourth Sunday of Advent,Advent,A,
2007-12-30,2007,12,30,First Sunday after Christmas,Christmas,A,
2008-01-06,2008,1,6,The Epiphany,Epiphany,A,
2008-01-13,2008,1,13,First Sunday after the Epiphany,Epiphany,A,
2008-01-20,2008,1,20,Second Sunday after the Epiphany,Epiphany,A,
2008-01-27,2008,1,27,Third Sunday after the Epiphany,Epiphany,A,
2008-02-03,2008,2,3,Last Sunday after Epiphany,Epiphany,A,
2008-02-10,2008,2,10,First Sunday in Lent,Lent,A,
2008-02-17,2008,2,17,Second Sunday in Lent,Lent,A,
2008-02-24,2008,2,24,Third Sunday in Lent,Lent,A,
2008-03-02,2008,3,2,Fourth Sunday in Lent,Lent,A,
2008-03-09,2008,3,9,Fifth Sunday in Lent,Lent,A,
2008-03-16,2008,3,16,Palm Sunday,Lent,A,
