date,issues,title,occasion,readings
2011-12-25,EMPTY_READINGS,Out of the Darkness,"Christmas Day Christmas I Christmas II Christmas III, Year A • Christmas",
2013-12-01,OCCASION_IN_READINGS,Be Ready,"First Sunday of Advent, Year A • Advent","Advent 1, Year A"
2013-12-08,OCCASION_IN_READINGS,Prepare the Way,"Second Sunday of Advent, Year A • Advent","Advent 2, Year A"
2013-12-15,OCCASION_IN_READINGS,A Day of Rejoicing,"Third Sunday of Advent, Year A • Advent","Advent 3, Year A"
2013-12-22,OCCASION_IN_READINGS,Signs of God’s Presence,"Fourth Sunday of Advent, Year A • Advent","Advent 4, Year A"
2014-01-05,OCCASION_IN_READINGS,Divine Life,"Second Sunday after Christmas, Year A • Christmas","Christmas 2, Year A"
2014-01-12,OCCASION_IN_READINGS,The Blessing of Peace,"First Sunday after the Epiphany, Year A • Epiphany","Epiphany 1, Year A"
2014-01-19,OCCASION_IN_READINGS,Lamb of God,"Second Sunday after the Epiphany, Year A • Epiphany","Epiphany 2, Year A"
2014-01-26,OCCASION_IN_READINGS,Divisions,"Third Sunday after the Epiphany, Year A • Epiphany","Epiphany 3, Year A"
2014-02-09,OCCASION_IN_READINGS,“Here I Am”,"Fifth Sunday after the Epiphany, Year A • Epiphany","Epiphany 5, Year A"
2014-02-16,OCCASION_IN_READINGS,Growth,"Sixth Sunday after the Epiphany, Year A • Epiphany","Epiphany 6, Year A"
2014-02-23,OCCASION_IN_READINGS,God’s Temple,"Seventh Sunday after the Epiphany, Year A • Epiphany","Epiphany 7, Year A"
2014-03-02,EMPTY_READINGS,Touch,"Last Sunday after Epiphany, Year A • Epiphany",
2014-03-09,OCCASION_IN_READINGS,Abundance of Grace,"First Sunday in Lent, Year A • Lent","Lent 1, Year A"
2014-03-16,OCCASION_IN_READINGS,Trust,"Second Sunday in Lent, Year A • Lent","Lent 2, Year A"
2014-03-23,OCCASION_IN_READINGS,Hearken to God’s Voice,"Third Sunday in Lent, Year A • Lent","Lent 3, Year A"
2014-04-06,OCCASION_IN_READINGS,“Come Out”,"Fifth Sunday in Lent, Year A • Lent","Lent 5, Year A"
2014-06-22,OCCASION_IN_READINGS,Newness of Life—Loving-Kindness,"Second Sunday after Pentecost Proper 7, Year A • Ordinary Time","Proper7, Year A"
2014-10-19,UNKNOWN_IN_READINGS,"Pause and Pray the Collect for Today (BCP, P.235)","Nineteenth Sunday after Pentecost Proper 24, Year A • Ordinary Time",PERSEVERE WITH STEADFAST FAITH
2014-11-30,OCCASION_IN_READINGS,The Waiting Season,"First Sunday of Advent, Year B • Advent","Advent 1, Year B"
2014-12-14,OCCASION_IN_READINGS,Among You,"Third Sunday of Advent, Year B • Advent","Advent 3, Year B"
2014-12-21,OCCASION_IN_READINGS,God’s Favor,"Fourth Sunday of Advent, Year B • Advent","Advent 4, Year B"
2014-12-28,OCCASION_IN_READINGS,Enkindled,"First Sunday after Christmas, Year A • Christmas","The First Sunday after Christmas, Year B"
2015-01-04,OCCASION_IN_READINGS,The Eyes of Your Heart,"Second Sunday after Christmas ""(Note: Episcopal readings differ from the """"generic"""" RCL readings)"", Year B • Christmas","The Second Sunday after Christmas, Year B"
2015-03-29,LITURGY_IN_READINGS,Blessed,"Palm Sunday, Year B • Lent",Liturgy of the Palms
2016-01-03,OCCASION_IN_READINGS,The Goodness of the Lord,"Second Sunday after Christmas ""(Note: Episcopal readings differ from the """"generic"""" RCL readings)"", Year C • Christmas",The Second Sunday after Christmas
2016-01-10,OCCASION_IN_READINGS,Listen to the Voice of the Lord,"First Sunday after the Epiphany, Year C • Epiphany","The First Sunday after the Epiphany, Year C"
2016-02-07,OCCASION_IN_READINGS,Transformation,"Last Sunday after Epiphany, Year C • Epiphany","The Last Sunday after the Epiphany, Year C"
2016-02-21,OCCASION_IN_READINGS,Willing?,"Second Sunday in Lent, Year C • Lent","The Second Sunday in Lent, Year C"
2016-02-28,OCCASION_IN_READINGS,Holy Ground,"Third Sunday in Lent, Year C • Lent","The Third Sunday in Lent, Year C"
2016-03-06,OCCASION_IN_READINGS,Grumbling,"Fourth Sunday in Lent, Year C • Lent","The Fourth Sunday in lent, Year C"
2016-03-13,OCCASION_IN_READINGS,A New Thing,"Fifth Sunday in Lent, Year C • Lent","The Fifth Sunday in Lent, Year C"
2016-03-20,OCCASION_IN_READINGS,“The Lord Needs It”,"Palm Sunday, Year C • Lent","Palm Sunday, The Sunday of the Passion, Year C"
2016-03-27,OCCASION_IN_READINGS,The First Day,"Easter Day Principal Evening, Year C • Easter","Easter Day, Year C"
2016-04-03,OCCASION_IN_READINGS,My Lord and My God,"Second Sunday of Easter, Year C • Easter","The Second Sunday of Easter, Year C"
2016-04-10,OCCASION_IN_READINGS,My Lord and My God,"Third Sunday of Easter, Year C • Easter","The Second Sunday of Easter, Year C"
2016-04-17,OCCASION_IN_READINGS,One,"Fourth Sunday of Easter, Year C • Easter","The Fourth Sunday of Easter, Year C"
2016-04-24,OCCASION_IN_READINGS,Thirsty?,"Fifth Sunday of Easter, Year C • Easter","The Fifth Sunday of Easter, Year C"
2016-05-01,OCCASION_IN_READINGS,"Questions, Questions, Questions","Sixth Sunday of Easter, Year C • Easter","The Sixth Sunday of Easter, Year C"
2016-05-08,OCCASION_IN_READINGS,Unfastened,"Seventh Sunday of Easter, Year C • Easter","The Seventh Sunday of Easter, Year C"
2016-05-15,EMPTY_READINGS,"Bewildered, Amazed and Astonished","Day of Pentecost, Year C • Ordinary Time",
2016-05-22,OCCASION_IN_READINGS,Testimony,"Trinity Sunday, Year C • Ordinary Time","Trinity Sunday, Year C"
2016-05-29,OCCASION_IN_READINGS,Hurtful? Profitable?,"Second Sunday after Pentecost Proper 4, Year C • Ordinary Time","Proper 4, Year C"
2016-06-12,OCCASION_IN_READINGS,Many Others,"Fourth Sunday after Pentecost Proper 6, Year C • Ordinary Time","Proper 6, Year C"
2016-06-19,OCCASION_IN_READINGS,Athirst for God,"Fifth Sunday after Pentecost Proper 7, Year C • Ordinary Time","Proper 7, Year C"
2016-06-26,OCCASION_IN_READINGS,Lost?,"Sixth Sunday after Pentecost Proper 8, Year C • Ordinary Time","Proper 8, Year C"
2016-07-03,OCCASION_IN_READINGS,Trust,"Seventh Sunday after Pentecost Proper 9, Year C • Ordinary Time","Proper 9, Year C"
2016-07-10,OCCASION_IN_READINGS,The Plumb Line,"Eighth Sunday after Pentecost Proper 10, Year C • Ordinary Time","Proper 10, Year C"
2016-07-24,OCCASION_IN_READINGS,Rooted,"Tenth Sunday after Pentecost Proper 12, Year C • Ordinary Time","Proper 12, Year C"
2016-07-31,OCCASION_IN_READINGS,Is It Okay to Call God Mother?,"Eleventh Sunday after Pentecost Proper 13, Year C • Ordinary Time","Proper 13, Year C"
2016-08-07,OCCASION_IN_READINGS,Open the Door,"Twelfth Sunday after Pentecost Proper 14, Year C • Ordinary Time","Proper 14, Year C"
2016-08-14,EMPTY_READINGS,The Present Time,"Thirteenth Sunday after Pentecost Proper 15, Year C • Ordinary Time",
2016-08-21,OCCASION_IN_READINGS,Set Free,"Fourteenth Sunday after Pentecost Proper 16, Year C • Ordinary Time","Proper 16, Year C"
2016-09-04,OCCASION_IN_READINGS,The Potter and the Clay,"Sixteenth Sunday after Pentecost Proper 18, Year C • Ordinary Time","Proper 18, Year C"
2016-09-11,OCCASION_IN_READINGS,Grumbling,"Seventeenth Sunday after Pentecost Proper 19, Year C • Ordinary Time","Proper 19, Year C"
2016-09-18,OCCASION_IN_READINGS,The Only Response,"Eighteenth Sunday after Pentecost Proper 20, Year C • Ordinary Time","Proper 20, Year C"
2016-09-25,OCCASION_IN_READINGS,At the Right Time,"Nineteenth Sunday after Pentecost Proper 21, Year C • Ordinary Time","Proper 21, Year C"
2016-10-02,OCCASION_IN_READINGS,The Good Treasure,"Twentieth Sunday after Pentecost Proper 22, Year C • Ordinary Time","Proper 22, Year C"
2016-10-09,OCCASION_IN_READINGS,Unchained,"Twenty First Sunday after Pentecost Proper 23, Year C • Ordinary Time","Proper 23, Year C"
2016-10-16,OCCASION_IN_READINGS,Favorable or Unfavorable,"Twenty Second Sunday after Pentecost Proper 24, Year C • Ordinary Time","Proper 24, Year C"
2016-10-23,OCCASION_IN_READINGS,The Jesus Prayer,"Twenty Third Sunday after Pentecost Proper 25, Year C • Ordinary Time","Proper 25, Year C"
2016-10-30,OCCASION_IN_READINGS,Our Role Model?,"Twenty Fourth Sunday after Pentecost Proper 26, Year C • Ordinary Time","Proper 26, Year C"
2016-11-06,OCCASION_IN_READINGS,What Comes Next?,"""All Saints' (see Nov 1, white)"" Twenty Fifth Sunday after Pentecost Proper 27, Year C • Ordinary Time","Proper 27, Year C"
2016-11-13,OCCASION_IN_READINGS,Weary?,"Twenty Sixth Sunday after Pentecost Proper 28, Year C • Ordinary Time","Proper 28, Year C"
2016-11-20,OCCASION_IN_READINGS,The Image of God,"Christ the King, Year C • Special","Proper 29, Year C"
